MICROINJECTIONATTEMPTCOLONYN_0
BL1693
BL909
UCD-12534A-H11-1
UCD-10226A-A7-1
UCD-10916A-F3-1
Monterotondo-EPD0127_1_A12-1
ICS-EPD0038_2_E10-1
ICS-EPD0057_1_H01-1
GSF-EPD0102_1_D06-1
MAST
Monterotondo-HEPD0538_2_C09-1
Monterotondo-HEPD0522_1_C06-1
Monterotondo-HEPD0538_1_A05-1
Monterotondo-HEPD0556_5_B08-2
Monterotondo-HEPD0547_7_F08-1
Monterotondo-HEPD0555_3_G05-1
MRC - Harwell-EPD0370_7_E10-1
MRC - Harwell-EPD0155_6_A07-2
MRC - Harwell-HEPD0551_2_A07-1
MRC - Harwell-HEPD0555_6_G06-3
MRC - Harwell-HEPD0636_8_G11-1
MRC - Harwell-HEPD0556_7_B06-1
MRC - Harwell-HEPD0636_1_D12-1
MRC - Harwell-HEPD0633_3_C08-1
ICS-EPD0065_5_A04-1
MRC - Harwell-HEPD0634_6_C08-1
MRC - Harwell-HEPD0507_9_H02-1
MRC - Harwell-HEPD0636_6_A05-1
MRC - Harwell-HEPD0557_4_E10-1
MDCL
MRC - Harwell-EPD0326_4_A02-1
MRC - Harwell-EPD0325_3_C11-1
MRC - Harwell-HEPD0635_6_D04-1
Monterotondo-HEPD0538_4_B06-2
ICS-HEPD0539_8_A05-1
MRC - Harwell-EPD0348_1_C03-1
Monterotondo-HEPD0551_8_C01-1
BL794
BL1460
BL1297
BL1472
BL1824
BL1803
BL1504
BL1380
BL1321
BL1856
BL1540
BL1357
BL1672
BL1367
BL1469
BL1653
BL1496
BL1485
BL1802
BL1301
BL1765
BL1690
BL1459
BL1487
BL1842
BL1512
BL1813
BL1621
BL1656
BL1746
BL988
MADG
MBVF
MBHU
MBJC
MBJE
MBJQ
GSF-HEPD0546_1_F06-1
GSF-HEPD0550_6_G09-1
GSF-HEPD0550_6_G09-1
MBNZ
MCKS
